x,y,z,dx,dy,dz,t
-0.266564,0.263843,-0.103949,0.0500103,0.0499066,0.0537385,61192
-0.211434,0.106362,-0.161013,0.0504076,0.0502589,0.0550055,85759
-0.20457,0.0833262,-0.126605,0.0501525,0.050036,0.0545699,34126
-0.181905,0.0930164,-0.0650219,0.0500866,0.0499769,0.0541471,33628
-0.0649852,0.00842339,0.00569122,0.0500638,0.0499489,0.0539717,32369
0.0467454,-0.109683,0.0799921,0.0501204,0.0500081,0.0541105,36915
-0.0143964,-0.0794126,0.145521,0.050102,0.0499921,0.0541041,37515
-0.168227,0.0626728,0.270393,0.050012,0.04991,0.0539401,39088
-0.116665,-0.0120114,0.655505,0.0502709,0.0495767,0.0569035,63268
0.192542,-0.460851,1.44402,0.0526808,0.0501071,0.0708953,68074
0.37342,-0.896747,2.41265,0.0560367,0.0518781,0.0855126,67030
0.0957568,-0.791226,2.99249,0.0557151,0.0506642,0.0849416,73699
-0.409312,-0.209432,2.78758,0.0533454,0.0496039,0.0719109,61216
-0.608937,0.183949,2.06619,0.0522487,0.0510465,0.0619224,63347
-0.328261,-0.0762452,1.55382,0.0513577,0.0496084,0.0626428,74297
0.109532,-0.717312,1.65922,0.0525882,0.0510331,0.0731665,70687
0.333287,-1.10945,2.04249,0.0549902,0.0546836,0.084775,54527
0.257631,-0.96677,2.06249,0.054479,0.0526664,0.0843254,77297
-0.0052844,-0.503477,1.52915,0.0522169,0.0497393,0.0702867,71004
-0.313783,-0.0617507,0.837626,0.0508253,0.0496717,0.055025,58095
-0.522728,0.180642,0.426892,0.0531393,0.056618,0.0503008,57577
-0.523408,0.189875,0.338947,0.0626883,0.078344,0.0503814,34134
-0.351276,0.0084275,0.358111,0.0752765,0.103024,0.0502376,36646
-0.174794,-0.220071,0.364244,0.0826409,0.116772,0.0501662,70876
-0.125878,-0.307917,0.382642,0.0795879,0.111802,0.0508644,70802
-0.186328,-0.20326,0.400835,0.0669665,0.087532,0.0524075,56222
-0.255295,-0.043293,0.338579,0.0543068,0.0601871,0.0519402,70900
-0.272881,0.0261159,0.200808,0.0501434,0.050305,0.0519017,70629
-0.253621,0.0122409,0.108402,0.0501438,0.0501058,0.0534707,70833
-0.238549,0.00841099,0.128414,0.0501126,0.0500027,0.0539219,56785
-0.243063,0.0429937,0.17712,0.0500632,0.0499872,0.0537938,81264
-0.242766,0.0693024,0.151202,0.0500403,0.0499465,0.0537653,74683
-0.20617,0.0638299,0.0757504,0.0500601,0.0499517,0.0538014,62746
-0.143563,0.0626048,0.0462071,0.0500615,0.0499494,0.0538949,61639
-0.105385,0.0999914,0.0726668,0.0500509,0.04995,0.0538881,69553
-0.118712,0.152361,0.0653604,0.0500471,0.0499442,0.0538511,67404
-0.146795,0.163563,-0.0389499,0.0500511,0.0499419,0.0538453,74356
-0.13392,0.119113,-0.207576,0.050051,0.0499407,0.0538734,56809
-0.0768083,0.069763,-0.373068,0.0500496,0.0499439,0.0538823,65099
-0.0255233,0.0645724,-0.499811,0.0500507,0.0499461,0.0538701,75755
-0.0116136,0.0852075,-0.567097,0.0500518,0.049944,0.0538613,71849
-0.000612272,0.0818706,-0.541171,0.0500482,0.0499388,0.0538772,52632
0.0559834,0.0549523,-0.41144,0.0500493,0.0499422,0.0538776,71966
0.131073,0.0509363,-0.231788,0.0500518,0.0499473,0.0538788,68565
0.137521,0.0821099,-0.0839542,0.0500614,0.049954,0.0538733,70629
0.0569211,0.103703,-0.00102989,0.050049,0.049941,0.0538882,58873
-0.00630039,0.0827435,0.0518049,0.0500682,0.049958,0.0539832,68627
0.042447,0.04421,0.124108,0.0500516,0.0499471,0.0539126,72510
0.146494,0.0255648,0.220507,0.0503177,0.0501841,0.0552354,70907
0.17099,0.0221083,0.290075,0.0506731,0.0505126,0.0565817,80500
0.0945153,0.0109249,0.273609,0.0502961,0.0501593,0.0551724,42500
0.0284839,-0.00119869,0.174118,0.0500574,0.0499559,0.0538698,64435
0.0365703,-0.00191782,0.0789979,0.0501156,0.0500163,0.0539691,34674
0.0437626,-0.0235697,0.089715,0.0501095,0.0500476,0.0533571,36769
-0.0250265,-0.105188,0.219595,0.0503147,0.0503092,0.0513618,56663
-0.115084,-0.212765,0.372687,0.0524007,0.05366,0.050432,70808
-0.128595,-0.269577,0.426678,0.0542539,0.0566628,0.0510095,70719
-0.0589493,-0.266583,0.328933,0.0524039,0.0536027,0.0508306,70617
0.0451491,-0.26663,0.125646,0.0503136,0.0503004,0.0515613,56826
0.168478,-0.295233,-0.0692045,0.0500963,0.0500451,0.0533114,71005
0.2964,-0.310346,-0.1338,0.0500794,0.0499891,0.0539185,70652
0.379823,-0.294087,-0.0214774,0.0500832,0.0499582,0.053838,76589
0.413874,-0.290544,0.174013,0.0500726,0.0499691,0.053672,61293
0.451934,-0.321487,0.266697,0.0500407,0.0499666,0.0536678,66795
0.472672,-0.33014,0.147346,0.0500535,0.0499661,0.0538682,72137
0.365278,-0.250275,-0.100662,0.0501221,0.0499814,0.0539857,71192
0.12773,-0.100646,-0.293588,0.0501779,0.0501536,0.0531966,55049
-0.0648783,0.0169676,-0.338166,0.0501813,0.0503725,0.0514502,71277
-0.085057,0.0112539,-0.286028,0.0542316,0.0597878,0.0506148,71905
-0.0145758,-0.102214,-0.231908,0.0651894,0.0836095,0.0507463,69315
0.00494784,-0.196496,-0.227619,0.0716291,0.0965371,0.0512573,56457
-0.0458286,-0.152093,-0.266977,0.0652592,0.0830677,0.0519639,73222
-0.118115,0.010453,-0.27365,0.0544349,0.0596419,0.0519193,69624
-0.206922,0.155326,-0.136521,0.050143,0.0503214,0.0517161,70110
-0.30597,0.201472,0.144032,0.0503334,0.0504281,0.0514454,56593
-0.347077,0.207129,0.377718,0.0506485,0.0508918,0.0508631,69728
-0.28957,0.251118,0.373011,0.0502227,0.0503456,0.0532103,70903
-0.204866,0.306627,0.188174,0.0496378,0.0501979,0.0574114,70522
-0.183317,0.304265,0.0649174,0.0497528,0.0511619,0.0595475,59442
-0.210944,0.256409,0.115435,0.0501234,0.0517835,0.0605384,69802
-0.216176,0.225798,0.219815,0.0498252,0.0510321,0.0625104,71516
-0.187804,0.211109,0.258613,0.0497482,0.0509578,0.0649971,64123
-0.168464,0.157393,0.287663,0.0502652,0.0524085,0.0675813,58076
-0.168505,0.0600215,0.395384,0.0509634,0.0545002,0.0703779,73346
-0.16092,-0.0206969,0.513961,0.051743,0.0567381,0.0725479,74904
-0.145693,-0.0366429,0.506183,0.0524751,0.0582602,0.0727235,70290
-0.159632,0.0172227,0.377066,0.0523372,0.0570337,0.0676594,53042
-0.219619,0.13007,0.265904,0.0508243,0.0526475,0.0579973,70014
-0.29209,0.268434,0.247684,0.0498677,0.0498963,0.0531797,69307
-0.328758,0.350491,0.263573,0.0502108,0.0502671,0.053355,63416
-0.316133,0.297067,0.255373,0.0500915,0.0501318,0.0523351,56670
-0.280616,0.13182,0.255594,0.0522104,0.0553014,0.0539616,34940
-0.253782,-0.0171099,0.305106,0.0556741,0.0641611,0.058373,72606
-0.246294,-0.0511645,0.367744,0.0551166,0.0644007,0.0625575,68846
-0.253147,-0.0072619,0.382813,0.0525299,0.0589747,0.0654775,92844
-0.265403,0.0101473,0.352411,0.0523306,0.0585721,0.0661433,34245
-0.272752,-0.0215668,0.325543,0.0539325,0.0620664,0.0629322,35103
-0.278062,-0.0216459,0.318687,0.0534728,0.0605197,0.0582719,72953
-0.323797,0.0607463,0.291623,0.0508733,0.0543498,0.0593567,70415
-0.482246,0.146567,0.202169,0.0506045,0.0504454,0.0577919,83012
